brand,productYear,new_bool,date,price
hyundai,2020.0,True,22/11/19,765000000
hyundai,2020.0,True,22/11/19,980000000
hyundai,2020.0,True,22/11/19,530000000
kia,2013.0,False,24/03/20,445000000
mazda,2019.0,False,24/03/20,666000000
toyota,2009.0,False,24/03/20,275000000
kia,2016.0,False,24/03/20,465000000
mercedes benz,2006.0,False,24/03/20,550000000
porsche,2015.0,False,24/03/20,2380000000
mercedes benz,2006.0,False,24/03/20,550000000
kia,2015.0,False,24/03/20,500000000
toyota,2017.0,False,13/03/20,935000000
mazda,2019.0,False,24/02/20,865000000
ford,2016.0,False,24/03/20,495000000
ford,2016.0,False,24/03/20,495000000
peugeot,2019.0,False,18/02/20,1119000000
kia,2018.0,False,26/02/20,585000000
suzuki,2017.0,False,24/03/20,235000000
nissan,2016.0,False,24/03/20,390000000
toyota,2011.0,False,24/03/20,1250000000
mitsubishi,2007.0,False,24/03/20,295000000
mercedes benz,2015.0,False,24/03/20,990000000
ford,2010.0,False,24/03/20,435000000
ford,2012.0,False,24/03/20,515000000
toyota,2013.0,False,24/03/20,435000000
hyundai,2019.0,False,24/03/20,1120000000
kia,2012.0,False,24/02/20,385000000
toyota,2011.0,False,24/03/20,586000000
bmw,2016.0,False,24/03/20,1180000000
hyundai,2018.0,False,24/03/20,698000000
toyota,2016.0,False,24/03/20,745000000
hyundai,2019.0,False,24/03/20,1120000000
hyundai,2014.0,False,24/02/20,675000000
honda,2008.0,False,24/03/20,365000000
suzuki,2020.0,True,06/03/20,249000000
bmw,2012.0,False,24/03/20,780000000
mercedes benz,2017.0,False,24/03/20,5000000000
suzuki,2020.0,True,26/02/20,499000000
toyota,2019.0,False,24/03/20,1015000000
ford,2016.0,False,04/03/20,545000000
honda,2018.0,False,19/03/20,559000000
mercedes benz,2010.0,False,06/03/20,485000000
mazda,2017.0,False,23/03/20,768000000
yamaha,2009.0,False,23/03/20,83000000
kia,2011.0,False,23/03/20,230000000
toyota,2013.0,False,23/03/20,585000000
honda,2017.0,False,19/03/20,989000000
hyundai,2016.0,False,23/03/20,359000000
mercedes benz,2008.0,False,23/03/20,380000000
toyota,2019.0,False,23/03/20,535000000
mercedes benz,2018.0,False,23/03/20,1790000000
kia,2010.0,False,23/03/20,365000000
mazda,2016.0,False,05/03/20,575000000
kia,2018.0,False,24/02/20,388000000
daewoo,2010.0,False,23/03/20,295000000
hyundai,2008.0,False,23/03/20,418000000
mazda,2013.0,False,23/03/20,600000000
mazda,2018.0,False,20/03/20,935000000
mazda,2018.0,False,23/03/20,915000000
honda,2018.0,False,20/03/20,585000000
